job_id,category,job_title,job_description,job_skill_set,source
real_ds_001,Data Scientist,Data Scientist,We are looking for a Data Scientist to build predictive models and extract business insights from large datasets. You will work closely with product and engineering teams.,"Python, Scikit-Learn, Pandas, NumPy, SQL, Data Visualization, Statistics, Jupyter Notebook",manual
real_ds_002,Data Scientist,Senior Data Scientist – NLP,Seeking a Senior Data Scientist to develop NLP pipelines for text classification and sentiment analysis on customer feedback data.,"Python, NLP, TensorFlow, Hugging Face, Pandas, SQL, Git, Statistics, Jupyter Notebook",manual
real_ds_003,Data Scientist,Data Scientist – Computer Vision,"Build and fine-tune computer vision models for defect detection in manufacturing. You will handle data labeling, model training, and deployment.","Python, Computer Vision, PyTorch, OpenCV, NumPy, Scikit-Learn, Git, Data Visualization",manual
real_ds_004,Data Scientist,ML Engineer / Data Scientist,Design end-to-end machine learning pipelines from data ingestion to model deployment. Collaborate with data engineers and business stakeholders.,"Python, Scikit-Learn, Machine Learning, SQL, A/B Testing, Pandas, Docker, Git, Statistics",manual
real_ds_005,Data Scientist,Data Scientist – Recommendation Systems,Develop personalized recommendation algorithms for an e-commerce platform serving millions of users daily.,"Python, Machine Learning, Scikit-Learn, SQL, Pandas, NumPy, A/B Testing, Data Visualization, Statistics",manual
real_ds_006,Data Scientist,Data Scientist – Fraud Detection,Build real-time fraud detection models using transaction data. Experience with imbalanced datasets and anomaly detection is required.,"Python, Machine Learning, Scikit-Learn, SQL, Pandas, Statistics, NumPy, Data Visualization, Git",manual
real_ds_007,Data Scientist,Research Data Scientist,Conduct research on statistical forecasting models for financial markets. You will publish internal papers and present findings to leadership.,"Python, Statistics, Machine Learning, Scikit-Learn, Pandas, NumPy, Data Visualization, SQL, Jupyter Notebook",manual
real_ds_008,Data Scientist,Data Scientist – Healthcare,Apply ML to clinical data for patient outcome prediction and readmission risk scoring. Privacy and data governance knowledge is a plus.,"Python, Scikit-Learn, Pandas, Statistics, Machine Learning, SQL, Data Visualization, NumPy, Jupyter Notebook",manual
real_ds_009,Data Scientist,Data Scientist – Ads & Growth,"Optimize advertising campaigns using ML models for CTR prediction, audience segmentation, and budget allocation.","Python, Machine Learning, A/B Testing, SQL, Pandas, Scikit-Learn, Statistics, Data Visualization, Git",manual
real_ds_010,Data Scientist,Junior Data Scientist,"Entry-level Data Scientist role. You will assist in data cleaning, exploratory analysis, feature engineering, and model prototyping.","Python, Pandas, NumPy, Scikit-Learn, SQL, Statistics, Data Visualization, Jupyter Notebook",manual
real_ds_011,Data Scientist,Data Scientist – Supply Chain,Build time-series forecasting models for demand planning and inventory optimization across a global supply chain.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-Learn, SQL, Data Visualization, Jupyter Notebook",manual
real_ds_012,Data Scientist,Data Scientist – Deep Learning,Develop deep learning architectures for image and audio classification tasks. Experience with GPU training and model optimization required.,"Python, PyTorch, TensorFlow, Deep Learning, NumPy, Scikit-Learn, Git, Computer Vision, Jupyter Notebook",manual
real_ds_013,Data Scientist,Data Scientist – Churn Prediction,Build customer churn prediction models using behavioral and demographic data. Present findings to business stakeholders regularly.,"Python, Machine Learning, Scikit-Learn, SQL, Pandas, A/B Testing, Data Visualization, Statistics, Git",manual
real_ds_014,Data Scientist,Data Scientist – Generative AI,Develop LLM-based solutions for internal knowledge management. Fine-tune foundation models and build evaluation pipelines.,"Python, NLP, TensorFlow, Hugging Face, Machine Learning, Git, Pandas, Statistics, Jupyter Notebook",manual
real_ds_015,Data Scientist,Data Scientist – Pricing,Build price optimization and demand elasticity models for a retail platform with millions of SKUs.,"Python, Machine Learning, Statistics, Pandas, SQL, Scikit-Learn, NumPy, A/B Testing, Data Visualization",manual
real_ds_016,Data Scientist,Data Scientist,Design and run A/B experiments to evaluate new product features. Communicate statistical results to non-technical stakeholders.,"Python, A/B Testing, Statistics, Pandas, SQL, Scikit-Learn, Data Visualization, NumPy, Jupyter Notebook",manual
real_ds_017,Data Scientist,Data Scientist – Genomics,Analyze genomic datasets using statistical and ML methods to support drug discovery research.,"Python, Statistics, Machine Learning, Pandas, NumPy, Scikit-Learn, Data Visualization, SQL, Jupyter Notebook",manual
real_ds_018,Data Scientist,Data Scientist – Cybersecurity,Build anomaly detection and threat classification models for a cybersecurity monitoring platform.,"Python, Machine Learning, Scikit-Learn, Statistics, SQL, Pandas, NumPy, Git, Data Visualization",manual
real_ds_019,Data Scientist,Data Scientist – Retail,Analyze customer purchase behavior and build segmentation models to support personalized marketing campaigns.,"Python, Machine Learning, SQL, Pandas, Scikit-Learn, A/B Testing, Statistics, Data Visualization, NumPy",manual
real_ds_020,Data Scientist,Data Scientist – Computer Vision (Medical),Develop CV models for medical image analysis including X-ray and MRI scan classification for diagnostic support tools.,"Python, Computer Vision, PyTorch, TensorFlow, NumPy, Scikit-Learn, Deep Learning, Git, Jupyter Notebook",manual
real_da_001,Data Analyst,Data Analyst,Analyze business performance data and create reports for management. Work with SQL databases and BI tools daily.,"SQL, Excel, Power BI, Data Visualization, Statistics, Google Sheets, Tableau, PostgreSQL",manual
real_da_002,Data Analyst,Business Data Analyst,"Support business decisions by analyzing sales, marketing, and operational data. Deliver clear insights to leadership through dashboards.","SQL, Excel, Tableau, Google Analytics, Statistics, Power BI, Data Visualization, Google Sheets",manual
real_da_003,Data Analyst,Marketing Data Analyst,Track and analyze marketing campaign performance across digital channels. Run A/B tests and optimize campaigns based on insights.,"Google Analytics, SQL, Excel, Tableau, A/B Testing, Power BI, Data Visualization, Statistics, Google Sheets",manual
